participant,rank,realrate.response,physical,document,witness,character,verdict.response,responseTextBox.text,thisRow.t,vviqResponse.response,notes,frameRate,evidenceUsedResponse.rt,evidenceUsedResponse.response,consented_button.numClicks,confidenceLevel.response,casestrength.response,,,,waitInstruction.stopped,waitInstruction.started,vviqTrials.thisTrialN,vviqTrials.thisRepN,vviqTrials.thisN,vviqTrials.thisIndex,vviqTheme,vviqShowNewTheme.stopped,vviqShowNewTheme.started,vviqQuestions.stopped,vviqQuestions.started,vviqQuestion,vviqInstructions.stopped,vviqInstructions.started,userResponseContinue.started,userResponse.stopped,userResponse.started,trials.thisTrialN,trials.thisRepN,trials.thisN,trials.thisIndex,testInstruction.stopped,testInstruction.started,surpriseTestRoutine.stopped,surpriseTestRoutine.started,surpriseTestPrompt.stopped,surpriseTestPrompt.started,surpriseTestLoopSmall.thisTrialN,surpriseTestLoopSmall.thisRepN,surpriseTestLoopSmall.thisN,surpriseTestLoopSmall.thisIndex,surpriseTestLoopBig.thisTrialN,surpriseTestLoopBig.thisRepN,surpriseTestLoopBig.thisN,surpriseTestLoopBig.thisIndex,severity,setUpRoutine.stopped,setUpRoutine.started,psychopyVersion,,,,minorInculp,minorExculp,lureType,lureCaseNum,lureCase,expStart,expName,evidenceAppendLoop.thisTrialN,evidenceAppendLoop.thisRepN,evidenceAppendLoop.thisN,evidenceAppendLoop.thisIndex,evidence4,evidence3,evidence2,evidence1,draftedBy,,,,date,criticalInculp,criticalExculp,crimeType,crimeDescription,crime,consented_button.timesOn,consented_button.timesOff,consented,consentInfiniteLoop.thisTrialN,consentInfiniteLoop.thisRepN,consentInfiniteLoop.thisN,consentInfiniteLoop.thisIndex,condition,characterVirtue,,,baseScenerio,appendEvidence.stopped,appendEvidence.started,Wait.stopped,Wait.started,Survey.stopped,Survey.started,Scenerio.stopped,Scenerio.started,Introduction2.stopped,Introduction2.started,Introduction1.stopped,Introduction1.started,Consent.stopped,Consent.started,
068653,,,,,,,,,2009.7926807000767,4,,239.9502823698601,,,,,,,,,,,0,0,0,0,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,2013.9430561000481,2009.7791358000832,2023.598751500016,2013.9430653000018,"The exact contour of face, head, shoulders and body.",2009.7551315000746,1991.9473843000596,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,,,,,2026-04-21_11h58.03.704,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
068653,,,,,,,,,2023.618021900067,3,,239.9502823698601,,,,,,,,,,,1,0,1,1,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,2023.5989324999973,2023.598911600071,2027.715002000099,2023.598936400027,"Characteristic poses of head, attitudes of body, etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,,,,,2026-04-21_11h58.03.704,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
068653,,,,,,,,,2027.7340814000927,2,,239.9502823698601,,,,,,,,,,,2,0,2,2,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,2027.7151412001112,2027.7151223000837,2031.7856986999977,2027.7151450000238,"The precise carriage, length of step, etc., in walking.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,,,,,2026-04-21_11h58.03.704,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
068653,,,,,,,,,2031.8053960000398,2,,239.9502823698601,,,,,,,,,,,3,0,3,3,Think of some relative or friend whom you frequently see (but who is not with you at present) and consider carefully the picture that comes before your mind's eye,2031.7858399000252,2031.7858211999992,2035.719380500028,2031.7858439000556,The different colors worn in some familiar clothes.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,,,,,2026-04-21_11h58.03.704,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
068653,,,,,,,,,2035.7303009000607,3,,239.9502823698601,,,,,,,,,,,4,0,4,4,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,2040.455595400068,2035.719506,2044.302922300063,2040.4556048000231,The sun is rising above the horizon into a hazy sky.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,,,,,2026-04-21_11h58.03.704,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
068653,,,,,,,,,2044.3179188000504,5,,239.9502823698601,,,,,,,,,,,5,0,5,5,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,2044.3030653001042,2044.3030455000699,2048.602772000013,2044.3030692000175,The sky clears and surrounds the sun with blueness.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,,,,,2026-04-21_11h58.03.704,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
068653,,,,,,,,,2048.622197800083,2,,239.9502823698601,,,,,,,,,,,6,0,6,6,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,2048.6029080000008,2048.6028900000965,2052.8606915000128,2048.602912100032,"Clouds. A storm blows up, with flashes of lightning.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,,,,,2026-04-21_11h58.03.704,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
068653,,,,,,,,,2052.8764426000416,2,,239.9502823698601,,,,,,,,,,,7,0,7,7,Visualize a rising sun. Consider carefully the picture that comes before your mind's eye.,2052.8608321000356,2052.860813300009,2055.465357500012,2052.8608359000646,A rainbow appears.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,,,,,2026-04-21_11h58.03.704,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
068653,,,,,,,,,2055.476399700041,3,,239.9502823698601,,,,,,,,,,,8,0,8,8,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,2059.5854392000474,2055.4654759000987,2063.524452700047,2059.5854478999972,The overall appearance of the shop from the opposite side of the road.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,,,,,2026-04-21_11h58.03.704,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
068653,,,,,,,,,2063.539019800024,1,,239.9502823698601,,,,,,,,,,,9,0,9,9,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,2063.5245874000248,2063.5245696000056,2067.202585000079,2063.5245913000545,"A window display including colors, shapes, and details of the door.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,,,,,2026-04-21_11h58.03.704,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
068653,,,,,,,,,2067.2226223000325,2,,239.9502823698601,,,,,,,,,,,10,0,10,10,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,2067.2027366000693,2067.2027170000365,2071.490226800088,2067.2027408001013,"You are near the entrance. The color, shape, and details of individual items for sale.",,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,,,,,2026-04-21_11h58.03.704,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
068653,,,,,,,,,2071.5059182000114,4,,239.9502823698601,,,,,,,,,,,11,0,11,11,Think of the front of a shop which you often go to. Consider the picture that comes before  your mind's eye.,2071.490366800106,2071.490348,2076.5618176000426,2071.4903707000194,You enter the shop and go to the counter. The counter assistant serves you. Money changes hands.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,,,,,2026-04-21_11h58.03.704,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
068653,,,,,,,,,2076.5726164000807,3,,239.9502823698601,,,,,,,,,,,12,0,12,12,"Think of a country scene which involves trees, mountains, and a lake. Consider the picture that comes before your mind's eye.",2079.785142900073,2076.561940100044,2082.4745104000904,2079.785151100019,The contours of the landscape.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,,,,,2026-04-21_11h58.03.704,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
068653,,,,,,,,,2082.4895646000514,3,,239.9502823698601,,,,,,,,,,,13,0,13,13,"Think of a country scene which involves trees, mountains, and a lake. Consider the picture that comes before your mind's eye.",2082.4746548000257,2082.4746357999975,2084.123849100084,2082.4746587000554,The color and shape of the trees.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,,,,,2026-04-21_11h58.03.704,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
068653,,,,,,,,,2084.1395315000555,3,,239.9502823698601,,,,,,,,,,,14,0,14,14,"Think of a country scene which involves trees, mountains, and a lake. Consider the picture that comes before your mind's eye.",2084.1239931000164,2084.123975,2085.6371040000813,2084.123997100047,The color and shape of the lake.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,,,,,2026-04-21_11h58.03.704,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
068653,,,,,,,,,2085.6520658000372,3,,239.9502823698601,,,,,,,,,,,15,0,15,15,"Think of a country scene which involves trees, mountains, and a lake. Consider the picture that comes before your mind's eye.",2085.6372448001057,2085.6372263000812,2088.1075736000203,2085.6372488000197,A strong wind blows on the trees and on the lake causing waves.,,,,,,,,,,,,,,,,,,,,,,,,,,,2023.2.3,,,,,,,,,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,,,,,,,,,2026-04-21_11h58.03.704,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
068653,,,,,,,,,2091.418695900007,,,239.9502823698601,7.8026557,Yes,,Moderately Confident,,,,,,,,,,,,,,,,,,,,,,,,,,2089.1273740000324,2088.107646400109,2101.6622329000384,2091.3967514000833,2091.385512100067,2089.139735,0,0,0,6,0,0,0,3,,,,2023.2.3,,,,Another official testified that he received money from the defendant with a note regarding the zoning laws,The defendant withdrew from his investments before the bribery occurred,evidence3,14,Bribery for zoning laws,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,The defendant has been convicted for tax evasion,A zoning board clerk saw the defendant give an envelope matching the bribe envelope,Bank records of the defendant indicate a recent sale for 43k,DNA under the flap did not belong to the defendant,,,,,2026-04-21_11h58.03.704,The defendant's assistant testified to sealing the envelope for the defendant,A thank you note was discovered inside the confiscated envelope,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
068653,,,,,,,,,2101.6770596000133,,,239.9502823698601,4.199609500006773,Yes,,Moderately Confident,,,,,,,,,,,,,,,,,,,,,,,,,,,,2106.7283160000807,2101.6624510000693,,,1,0,1,2,0,0,0,3,,,,2023.2.3,,,,Another official testified that he received money from the defendant with a note regarding the zoning laws,The defendant withdrew from his investments before the bribery occurred,minorInculp,14,Bribery for zoning laws,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,The defendant has been convicted for tax evasion,A zoning board clerk saw the defendant give an envelope matching the bribe envelope,Bank records of the defendant indicate a recent sale for 43k,DNA under the flap did not belong to the defendant,,,,,2026-04-21_11h58.03.704,The defendant's assistant testified to sealing the envelope for the defendant,A thank you note was discovered inside the confiscated envelope,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
068653,,,,,,,,,2106.7385616000975,,,239.9502823698601,1.029519799980335,Yes,,Moderately Confident,,,,,,,,,,,,,,,,,,,,,,,,,,,,2109.917988,2106.728469,,,2,0,2,5,0,0,0,3,,,,2023.2.3,,,,Another official testified that he received money from the defendant with a note regarding the zoning laws,The defendant withdrew from his investments before the bribery occurred,evidence2,14,Bribery for zoning laws,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,The defendant has been convicted for tax evasion,A zoning board clerk saw the defendant give an envelope matching the bribe envelope,Bank records of the defendant indicate a recent sale for 43k,DNA under the flap did not belong to the defendant,,,,,2026-04-21_11h58.03.704,The defendant's assistant testified to sealing the envelope for the defendant,A thank you note was discovered inside the confiscated envelope,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
068653,,,,,,,,,2109.9317197001074,,,239.9502823698601,2.1888208999298513,No,,Moderately Confident,,,,,,,,,,,,,,,,,,,,,,,,,,,,2113.4535083000083,2109.9181409000885,,,3,0,3,1,0,0,0,3,,,,2023.2.3,,,,Another official testified that he received money from the defendant with a note regarding the zoning laws,The defendant withdrew from his investments before the bribery occurred,criticalExculp,14,Bribery for zoning laws,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,The defendant has been convicted for tax evasion,A zoning board clerk saw the defendant give an envelope matching the bribe envelope,Bank records of the defendant indicate a recent sale for 43k,DNA under the flap did not belong to the defendant,,,,,2026-04-21_11h58.03.704,The defendant's assistant testified to sealing the envelope for the defendant,A thank you note was discovered inside the confiscated envelope,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
068653,,,,,,,,,2113.4642568000127,,,239.9502823698601,5.430519899935462,No,,Not Confident,,,,,,,,,,,,,,,,,,,,,,,,,,,,2119.962169100065,2113.4536562000867,,,4,0,4,4,0,0,0,3,,,,2023.2.3,,,,Another official testified that he received money from the defendant with a note regarding the zoning laws,The defendant withdrew from his investments before the bribery occurred,evidence1,14,Bribery for zoning laws,2026-04-21 11h58.16.961361 -0700,JurorPsychopyTest,,,,,The defendant has been convicted for tax evasion,A zoning board clerk saw the defendant give an envelope matching the bribe envelope,Bank records of the defendant indicate a recent sale for 43k,DNA under the flap did not belong to the defendant,,,,,2026-04-21_11h58.03.704,The defendant's assistant testified to sealing the envelope for the defendant,A thank you note was discovered inside the confiscated envelope,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
